Year,Job_Type,Tech_Index,AI_Adoption,Automation_Level,Education_Index,Remote_Work_Index,Market_Demand,Job_Trend_Score
2032,Accountant,66.21,45.52,70.46,67.77,53.3,64.32,53.85
2026,Cybersecurity Analyst,59.4,47.2,31.9,72.32,30.11,69.63,70.5
2034,Data Scientist,71.82,60.68,50.27,53.9,74.32,61.83,69.62
2024,Project Manager,62.25,50.54,47.07,56.6,40.68,59.18,59.7
2025,Cybersecurity Analyst,70.24,73.61,63.5,66.34,64.01,78.85,71.83
2032,Cybersecurity Analyst,73.16,60.54,61.71,66.13,45.12,68.1,77.67
2026,Data Scientist,69.65,87.98,58.11,48.76,62.56,70.51,74.24
2022,Accountant,70.57,72.31,100,66.62,69.6,57.95,74.04
2031,Digital Marketer,71.92,76.56,49.18,59.02,59.72,80.27,68.65
2029,Teacher,85.97,61.99,46.84,81.41,61.34,81.49,53.54
2022,Financial Analyst,67.47,62.36,31.87,67.49,48.52,67.49,62.84
2024,Teacher,71.27,85.97,24.24,69.21,43.49,85.22,58.58
2025,Doctor,78.67,54.33,30.59,69.47,52.07,68.75,57.84
2028,Civil Engineer,74.71,68.2,40.63,52.86,44.9,79.36,63.02
2032,Financial Analyst,66.42,56.01,81.2,84.44,87.01,50.52,85.3
2033,Doctor,79.02,55.97,55.78,48.77,35.11,74.24,58.76
2031,Project Manager,61.29,42.47,58.87,72.96,65.03,66.74,64.89
2024,Civil Engineer,67.73,48.86,53.07,71.19,57.76,71.87,47.67
2034,AI Engineer,62.29,46.08,62.31,60.23,53.45,71.33,68.51
2020,Data Scientist,75.76,68.92,83.04,71.66,72.2,71.51,85.4
2033,Financial Analyst,81.9,75.6,20,61.82,54.48,77.39,65.97
2033,Financial Analyst,72.23,58.58,79.37,58.25,40.48,63.22,72.69
2033,Project Manager,70.75,63.44,20,69.7,54.38,76.83,67.89
2023,Digital Marketer,61.25,57.71,55.56,54.93,47.25,84.79,58.97
2024,Cybersecurity Analyst,62.97,47.84,98.84,62.76,57.55,53.08,71.12
2031,Civil Engineer,58.07,72.93,68.61,59.06,62.2,60.63,58.89
2029,Project Manager,50,69.79,62.46,61.64,37.11,61.14,60.38
2029,Content Creator,66.09,31.61,95.04,69.33,67.93,56.9,60.26
2024,Accountant,67.02,55.75,40.94,59.06,46.18,64.3,45.59
2026,Cybersecurity Analyst,91.73,46.77,63.68,63.08,56.65,82.4,70.45
2023,Data Scientist,85.63,54.14,66.56,59.97,59.26,87.37,83.59
2020,Cybersecurity Analyst,75.56,49.94,44.55,79.44,55.51,71.27,79.83
2033,Digital Marketer,90.84,59.3,46.32,68.43,48.36,66.11,64.73
2033,Cybersecurity Analyst,83.91,55.05,44.12,67.2,42.67,79.64,74.62
2024,Data Scientist,50,54.73,56.75,71.83,45.97,41.63,69.35
2026,Digital Marketer,80.67,76.61,65.93,59.06,73.48,57.34,69.12
2029,Teacher,77.11,68.36,57.46,73.59,37.01,42.14,60.51
2029,Financial Analyst,67.11,49.44,69.19,68.46,39.21,57.21,77.69
2025,Financial Analyst,55.85,51.67,20,49.39,38.55,60.8,53.57
2024,Accountant,75.95,67.38,50.63,50.72,52.04,87.73,56.93
2023,Doctor,50,67.36,34.53,59.28,27.13,40,42.05
2021,Teacher,69.79,50.94,61.03,51.79,29.7,65,41.26
2023,Teacher,63.83,56.49,60.74,62.62,46.09,77.43,57.45
2034,Civil Engineer,57.41,87.7,52.69,54.86,30.68,74.93,66.6
2029,Cybersecurity Analyst,81.89,51.2,65.21,64.02,31.91,87.54,69.42
2029,Financial Analyst,69.59,88.66,74.96,79.12,30.8,71.93,68.42
2022,Data Scientist,71.74,76.56,53.79,64.51,37.3,74.49,71.64
2029,Software Developer,79.08,85.88,33.97,61.97,60.97,47.94,80.23
2020,Software Developer,69.91,50.56,23.37,68.88,64.34,58.14,62.32
2027,Digital Marketer,74.51,57.47,55.72,58.04,78.79,48.61,64.05
2024,Financial Analyst,78.16,53.26,59.84,73.43,78.24,76.87,72.6
2032,Financial Analyst,75.67,76.9,35.61,69.95,61.79,74.18,71.79
2023,Accountant,72.86,51.48,69.52,65.39,65.42,73.76,53.09
2027,Software Developer,87.83,70.97,45.82,66.54,51.97,59.42,75.93
2026,Financial Analyst,82.42,70.17,21.87,85.42,57.8,58.32,66.55
2021,Accountant,69.14,59.28,80.13,74.42,79.15,72.51,62.63
2020,Cybersecurity Analyst,60.9,79.48,77.88,87,55.57,61.97,77.29
2031,Content Creator,76.39,61.62,20,70.32,67.3,57.76,68.37
2030,Civil Engineer,72.16,72.51,43.75,50.28,35.98,63.9,51.03
2023,AI Engineer,87.09,52.58,42.97,62.38,40.01,62.07,60
2027,Teacher,79.87,49.15,87.79,48,54.68,59.6,61.78
2031,Doctor,77.64,70.97,53.01,70.28,52.25,55.29,64.91
2021,Digital Marketer,70.13,66.46,25.08,72.45,40.7,75.38,58.89
2022,Content Creator,61.24,63.65,72.64,56.14,86.11,88.67,69.42
2031,Civil Engineer,68.02,54.84,30.38,58.44,52.59,69.53,46.05
2020,Civil Engineer,74.77,83.24,49.79,66.49,43.36,72.67,60.67
2020,Civil Engineer,52.7,43.25,39.6,53.02,52.27,76.44,49.45
2032,Civil Engineer,82.42,42.43,43.79,52.27,50.38,74.4,51
2022,Software Developer,90.67,74.13,73.75,77.39,52.82,59.84,90.03
2030,Accountant,50.55,72.9,85.43,66.15,26.09,90.64,55.17
2024,Teacher,56,65.31,29.51,59.42,69.38,60.91,48.21
2031,Financial Analyst,72.3,55.68,67.52,48.08,70.23,77.78,73.39
2022,Civil Engineer,64.17,67.54,40.34,73.52,72.05,76.36,54.02
2020,Doctor,72.61,85.81,40.97,58.15,54.88,46.5,64.4
2020,Financial Analyst,69.28,97.73,64.81,83.61,59.94,65.69,78.39
2027,Data Scientist,59.76,35.15,34.44,73.59,37.01,70.68,57.28
2029,Data Scientist,82.88,53.72,64.41,56.92,62.49,71.6,83.75
2030,Doctor,74.65,52.77,69.6,57.85,53.78,73.62,56.33
2031,Accountant,64.4,84.4,46.35,82.22,43.09,79.09,62.79
2032,Doctor,85.05,30,81.54,64.16,62.97,69.91,62.57
2032,Software Developer,64.92,67.71,29.54,59.87,63.55,74.26,69.25
2031,Doctor,57.58,56.15,81.91,65.28,50.91,69.46,59.44
2034,Cybersecurity Analyst,71.84,84.57,20,59.82,56.58,57.79,70.34
2033,Financial Analyst,73.53,82.52,100,67.41,34.52,70.39,74.58
2021,Content Creator,75.32,65.48,46.88,64.24,68.65,78.99,71.77
2032,Project Manager,76.96,36.3,31.75,73.76,36.52,83.31,54.89
2022,Accountant,75.16,51.39,50.35,61.11,39.42,76.45,57.52
2021,Doctor,74.75,53.03,34.07,56.15,50.93,86.01,58.44
2022,Digital Marketer,64.26,40.1,62.74,61.51,66.72,75.03,54.26
2026,Data Scientist,63.19,77.32,82.35,61.45,66.71,80.37,88.37
2020,Cybersecurity Analyst,77.42,38.2,35.13,64.22,49.93,81.25,62.57
2029,Teacher,72.43,89.48,66.59,71.35,61.6,67.32,68.37
2027,Civil Engineer,78.2,89.44,24.35,70.8,24.66,78.71,54.24
2032,Project Manager,52.93,54.22,75.66,77,39.21,58.71,66.27
2029,Accountant,64.99,64.93,63.32,56.89,39.52,74.2,56.67
2029,Content Creator,89.07,58.92,76.52,68.89,68.78,76.92,83.74
2029,Project Manager,75.53,73.53,52.55,72.27,59.82,82.61,70.02
2033,Doctor,72.96,79.12,46.3,58.26,52.77,79.85,68.59
2021,Software Developer,77.08,63.87,71.32,62.92,54.23,82.77,81.82
2022,Data Scientist,92.08,67.04,28.84,47.5,73.53,68.81,73.92
2028,Data Scientist,89.98,50.69,20.14,74.07,47.45,65.86,67.44
2026,Teacher,54.2,66.55,54.9,62.85,30.29,66.7,50.43
2023,Software Developer,57.89,62.44,47.21,73.07,66.31,73.2,69.57
2029,Civil Engineer,53.87,46.32,66.08,67.06,52.73,48.3,51.85
2024,Financial Analyst,62.53,59.79,76.83,63.15,64.31,85.98,70.1
2021,AI Engineer,70.55,54.25,65.66,49.07,49.33,70.53,66.95
2032,Cybersecurity Analyst,72.42,50.86,75.24,50.85,37.42,65.02,71.36
2030,Data Scientist,54.7,42.8,61.42,40,56.04,40,56.08
2032,Digital Marketer,51.33,60.94,64.89,59.37,50.15,69.56,65.06
2027,Data Scientist,62.35,48.29,52.67,87.78,52.77,67.62,68.9
2023,Project Manager,79.16,52.93,64.3,52.12,74.25,59.24,72.57
2028,Data Scientist,80.9,76.13,58.33,40,33.52,61.92,78.32
2024,Accountant,87.06,69.48,61.5,74.63,54.29,69.68,71.49
2032,Data Scientist,69.68,45.32,51.67,88.64,37.72,62.94,70.89
2028,AI Engineer,78.28,65.28,71.18,67.98,20,76.86,78.34
2023,AI Engineer,80.1,61.99,40.79,67.89,49.27,61.01,70.23
2029,Civil Engineer,65.03,85.53,54.63,61.9,50.47,71.86,64.88
2024,Content Creator,73.88,80.75,81.24,47.06,59.35,84.16,81.06
2028,Financial Analyst,76.59,36.99,36.03,50.49,46.74,69.56,48.49
2027,Digital Marketer,60.91,72.92,20,61.83,27.66,74.27,60.1
2022,Data Scientist,86.42,78.98,62.33,59.92,37.66,73.51,87.09
2020,Data Scientist,69.61,68.39,49.86,63.85,69.75,70.1,72.75
2022,Cybersecurity Analyst,70.87,54.97,75.22,73.29,37.45,69.2,71.83
2023,AI Engineer,60.53,96.2,52.39,59.18,73.75,63.14,76.97
2021,Digital Marketer,62.21,69.77,42.91,73.5,65.75,71.81,60.24
2020,Civil Engineer,50,89.65,53.48,59.25,45.23,66.6,57.98
2026,Teacher,70.55,80.27,76.86,75.38,39.06,88.55,67.87
2027,Content Creator,95.06,66.96,66.51,65.86,65.72,79.73,80.23
2026,Financial Analyst,59.81,51.3,20,60.64,46.39,52.57,55.22
2033,Software Developer,99.76,59.64,58.72,65.69,26.82,53.23,72.8
2024,Financial Analyst,84.14,56.67,59.72,62.06,58.43,68.43,72.09
2031,Accountant,65.26,41.78,54.64,66.13,56.26,65.26,53.71
2020,Project Manager,70.27,69.75,42.78,72.58,67.07,67.8,67.11
2026,Accountant,68.65,83.51,78.89,64.13,55.24,77.81,69.95
2032,Data Scientist,87.06,55.53,79.88,61.3,41.76,73.79,79.09
2026,Content Creator,75.17,92.45,20,53.76,69.05,73.67,66.4
2028,Project Manager,81.82,36.64,39.04,70.79,70.5,87.35,65.87
2022,Digital Marketer,73.58,75.82,52.11,68.48,53.5,53.33,69.61
2028,Software Developer,68.88,85.07,73.97,53.18,50.9,71.25,83.4
2033,AI Engineer,73.26,56.94,55.7,73.35,30.15,63.05,69.67
2020,Content Creator,65.93,57.21,41.33,53.02,40.89,87.23,54
2020,Content Creator,55.48,75.64,69.19,75.29,61.41,43.49,72.56
2033,Accountant,78.14,67.59,50.77,71.88,41.64,44.01,59.88
2023,Data Scientist,54.99,30.04,52.65,69.2,28.15,73.66,53.26
2028,Doctor,67.31,47.35,54.46,61.23,100,83.52,61.67
2025,Civil Engineer,65.6,59.8,66.49,70.76,28.05,79.28,60.52
2032,Accountant,76.43,39.45,48.83,75.76,83.85,60.39,52.16
2030,Content Creator,85.65,52.89,68.74,70.92,45.39,88.08,69.66
2022,Cybersecurity Analyst,82.05,39.83,53.54,58.3,48.73,55.22,66.85
2020,Software Developer,76.72,54.45,33.66,67.67,39.92,85.69,64.16
2023,Civil Engineer,63.7,54.95,54.26,76.32,61.74,56.81,59.18
2031,Accountant,68.17,65.28,34.7,86.99,28.4,65.78,55.22
2032,Software Developer,66.71,58.62,55.82,62.95,22.4,77.67,62.59
2028,Cybersecurity Analyst,65.3,67.54,71.59,73.58,74.15,52.41,74.49
2022,Teacher,65.98,65.75,33.53,76.34,37.94,87.63,60.2
2031,Cybersecurity Analyst,65.71,75.47,62.29,56.88,61.19,65.7,83.37
2028,Cybersecurity Analyst,65.27,73.11,38.42,82.82,33.72,71.65,74.35
2026,Software Developer,79.52,71.52,59.03,54.35,60.63,83.95,76.92
2031,Financial Analyst,59.45,100,72.2,73.09,75.25,60.48,78.62
2033,Software Developer,62.71,65.21,20,68.05,42.09,82.73,67.28
2034,Doctor,54.17,98.9,32.71,65.56,21,89.69,56.61
2023,Data Scientist,84.15,66.18,47.62,90.47,75.33,62.13,73.27
2022,Project Manager,62.03,58.76,61.3,61.99,63.89,86.43,72.63
2029,Financial Analyst,76.61,54.4,51.67,61.83,42.9,48.87,70.82
2034,AI Engineer,74.75,82.65,54.08,78.31,46.73,74.68,84.01
2024,Project Manager,83.19,84.61,95.86,72.62,33.34,55.26,77.65
2024,Data Scientist,67.9,69,30.75,77.82,71.3,81.31,70.06
2022,Accountant,60.52,77,77.71,66.17,41.98,80.33,53.77
2031,Civil Engineer,54.44,40.84,48,68.17,28.72,94.93,54.25
2028,Doctor,50,36.77,65.99,84.01,53.2,87.06,50.38
2023,Doctor,71.61,78.69,97.58,56.64,37.1,68.01,79.37
2030,AI Engineer,77.75,58.1,68.77,63.97,34.55,57.02,83.4
2024,Financial Analyst,74.72,71.24,62.45,72.98,43.55,76.79,68.6
2023,Teacher,54.7,49.24,86.98,63.04,51.3,69.27,52.89
2024,Cybersecurity Analyst,80.39,84.85,77.5,59.3,29.28,88.61,85.39
2026,Financial Analyst,63.02,36.89,39.01,71.18,70.78,44,48.96
2028,Civil Engineer,60.93,39.22,60.89,78.36,60.16,96.26,52.61
2026,Teacher,62.79,81.66,20.65,63.59,44.52,76.38,50.36
2032,Doctor,70.78,30,44.2,63.31,36.45,60.24,54.45
2024,Software Developer,55.15,65.68,61.28,58.52,48.66,78.81,70.85
2029,Civil Engineer,69.63,58.39,42.96,62.04,63.49,85.57,54.11
2029,Data Scientist,74.29,48.96,60.47,75.84,61.17,71.37,70.81
2026,AI Engineer,81.07,57,54.73,65.81,65.88,48.82,78.84
2033,Data Scientist,71.76,47.29,65.73,56.95,42.79,66.47,66.57
2034,Civil Engineer,56.6,83.13,46.52,67.62,20,82.47,55.25
2029,Digital Marketer,71.49,87.07,36.2,75.51,68.72,75.96,70.68
2024,Digital Marketer,59.4,49.71,84.56,59.38,47.49,68.12,58.67
2022,Accountant,58.82,64.13,45.09,51.71,59.99,85.7,47.82
2026,Financial Analyst,56.37,40.12,68.2,86.91,75.04,78.87,64.74
2032,Doctor,50.89,76.1,83.7,51.21,86.52,79.8,62.49
2030,Doctor,64.33,75.71,58.25,61.41,40.25,65.07,57.05
2030,Cybersecurity Analyst,81.29,55.57,37.87,67.32,52.01,63.91,69.84
2021,Cybersecurity Analyst,92.56,60.25,51.43,62.28,70.5,49.6,74.92
2034,Cybersecurity Analyst,64.26,58.59,75.35,64.25,37.34,66.89,79.25
2031,Software Developer,80.86,35.72,59.12,70.77,41.27,81.22,74.51
2028,Project Manager,66.05,83.19,30.9,41.08,41.18,67.55,61.47
2029,Content Creator,53.49,48.5,66.93,52.33,49.58,75.35,61.73
2029,Project Manager,77.01,48.6,70.39,65.44,46.7,83.33,67.27
2031,Data Scientist,72.35,57.74,47.89,60.96,41.09,74.47,54.86
2020,Project Manager,88.18,74.93,67.2,66.29,35.51,75.65,76.6
2032,Software Developer,54.65,51.13,59.9,67.28,62.18,53.71,68.95
2025,Accountant,97.96,30.72,51.05,43.84,70.07,66.13,46.21
2026,Data Scientist,85.92,46.7,29.13,77.74,72.24,90.72,74.9
2033,Project Manager,69.82,66.36,76.56,60.02,42.78,71.25,69.8
2032,Software Developer,67.01,92.85,70.18,56.34,62.81,92.76,85.06
2027,Content Creator,62.84,41.1,66.68,67.08,53.54,61.32,61.55
2029,Project Manager,71.1,40.55,85.89,66.07,41.44,72.81,74.04
2028,Software Developer,68.16,37.31,73.9,76.97,61.01,65.41,73.2
2021,Cybersecurity Analyst,75.14,35.45,68.73,67.72,40.75,77.1,74.49
2030,Doctor,67.06,78.09,20,76.58,44.36,80.74,60.67
2029,Cybersecurity Analyst,84.15,82.42,78.94,55.62,29.35,77.23,76.97
2021,Doctor,71.25,62.67,56.66,66.42,43.04,82.5,54.51
2024,AI Engineer,67.43,52.98,61.25,53.85,53.81,69.84,71.56
2032,AI Engineer,80.24,86.87,61.39,65.98,73.53,67.71,82.86
2024,AI Engineer,53.77,62.61,70.48,63.86,44.7,48.9,68.49
2025,Content Creator,73.41,76.34,77.44,63.43,34.43,77.66,81.2
2022,Cybersecurity Analyst,70.26,52.25,67.68,63.51,72.46,72.07,72.99
2027,Doctor,55.89,60.66,64.51,72.36,42.43,69.19,50.75
2032,Software Developer,52.91,41.44,59.63,48.93,23.77,67.71,54.45
2020,Data Scientist,80.1,69.44,20,56,52,69.56,79.38
2025,Software Developer,79.63,62.86,49.25,64.59,45.13,67.17,72.14
2023,Data Scientist,71.73,46.58,36.17,53.21,84.51,63.66,59.6
2020,Digital Marketer,87.17,46.78,79.21,65.46,57.13,72.88,64.66
2034,Software Developer,74.41,84.24,67.38,64.49,47.8,75.81,78.26
2026,Project Manager,82.5,89.58,45.84,50.96,36.13,60.75,70.5
2028,Project Manager,74.2,56.8,47.85,50.47,54.95,65.19,68.39
2032,Financial Analyst,67.24,61.02,47.12,40,71.85,67.54,67.31
2023,Cybersecurity Analyst,59.42,66,46.76,52.79,54.68,70.06,67.57
2023,Data Scientist,63.97,62.22,26.11,65.14,37.29,68.46,61.42
2025,Data Scientist,67.43,34.89,21.77,66.56,58.08,77.92,61.32
2031,Civil Engineer,83.63,66.42,55.58,67.02,49.27,50.17,52.37
2034,Accountant,77.7,30,76.51,57.22,56.73,52.3,64
2022,Cybersecurity Analyst,73.3,49.01,44.25,64.82,44.68,72.32,70.5
2032,Content Creator,78.7,67.58,61.07,68.97,44.33,62.77,76.04
2031,Financial Analyst,75.27,69,69.69,52.32,43.73,80.61,65.89
2025,Content Creator,72.62,47.85,35.13,66.23,64.13,84.04,69.11
2026,Content Creator,55.01,53.12,54.6,71.56,44.48,72.8,59.48
2030,Content Creator,81.39,51.09,41.67,60.09,43.1,57.14,57.87
2029,Cybersecurity Analyst,65.41,58.46,87.12,75.62,35.87,82.66,77.26
2029,Content Creator,80.89,59.6,86.25,60.33,56.81,72.39,75.41
2022,Project Manager,81.85,70.03,35.15,56.4,54.68,52.16,61.14
2026,Accountant,63.3,52.25,62.72,70.57,43.27,53.22,49.53
2033,Accountant,79.5,65.6,76.35,85.33,39.36,88.2,62.82
2022,AI Engineer,66.39,67.61,71.97,65.85,78.14,86.21,75.08
2032,Digital Marketer,66.45,62.97,56.63,71.35,21.79,40,61.62
2032,Data Scientist,72.57,56.11,81.13,59.91,57.4,53.71,68.86
2021,Civil Engineer,72.84,62.71,36.91,52.58,69.37,83.69,51.82
2031,Data Scientist,70.39,71.28,48.94,66.66,20,69.78,75.92
2033,Digital Marketer,56.66,72.59,37.45,68.24,61.91,78.42,69.27
2029,Civil Engineer,68.79,87.23,70.65,61.42,46.7,69.26,60.23
2023,Cybersecurity Analyst,92.78,45.15,43.35,71.31,53.84,77.85,77.92
2031,Software Developer,50,53.4,51.58,58.46,45.15,70.07,53.12
2027,Cybersecurity Analyst,78.7,35.8,67.35,55.98,66.13,64.75,82.49
2032,Data Scientist,80.57,73.97,68.96,75.61,55.45,82.7,89.95
2034,Data Scientist,56.42,54.98,36.86,75.65,51.98,72.42,62.59
2028,Civil Engineer,65.31,63.09,76.13,58.66,36.52,77.83,60.58
2026,Civil Engineer,59.99,50.93,64.11,82.19,78.23,71.89,52.3
2020,Digital Marketer,88.54,55.1,33.37,62.13,50.15,64.16,65.43
2022,Content Creator,81.03,78.35,28.45,65.85,84.35,89.3,72.39
2032,Cybersecurity Analyst,81.51,70.41,54.68,64.15,78.91,74.26,75.97
